X,Y,OBJECTID,TYPE,SCHOOL,ADDRESS,SE_ANNO_CAD_DATA,NAME,GRADE,CITY,ZIP,PHONE,WEBSITE,XCOORD,YCOORD,SITE_USE,PRJ_ENRLLMNT
1265680.67393531,234243.291153222,1,NonStandard,QUEEN ANNE GYM,1431 2nd Ave N,,Queen Anne Gym,9-12,Seattle,98109,,,1265680.67393531,234243.29115322,Active,
1274760.89986931,217081.839911878,2,Elementary,BEACON HILL ELEM,2025 14th Ave. S,,Beacon Hill Int'l,K-5,Seattle,98144,(206) 252-2700,http://beaconhilles.seattleschools.org/,1274760.89986931,217081.83991188,Active,
1262888.33995306,203870.059905052,3,Option Elementary,BOREN BLDG,5950 Delridge Way SW,,Louisa Boren STEM,K-8,Seattle,98106,(206)252-8450,http://borenstemk8.seattleschools.org/,1262888.33995307,203870.05990505,Active,
1271958.49996231,194568.02995272,4,Elementary,CONCORD ELEM,723 S Concord St.,,Concord Int'l,K-5,Seattle,98108,(206) 252-8100,http://concordes.seattleschools.org/,1271958.49996232,194568.02995272,Active,
1274823.0001388,205005.7298778,5,Option High School,CLEVELAND HIGH SCHOOL,5511 15th Ave S,,Cleveland STEM,9-12,Seattle,98108,(206)252-7800,http://clevelandhs.seattleschools.org/,1274823.0001388,205005.7298778,Active,
1280683.36997972,261536.27987422,6,High School,NATHAN HALE HIGH SCHOOL,10750 30th Ave NE,,Nathan Hale,9-12,Seattle,98125,(206)252-3680,http://halehs.seattleschools.org/,1280683.36997972,261536.27987422,Active,
1259615.91998872,198177.529951558,7,Elementary,HUGHES,7740 34th Ave SW,,Roxhill at E.C. Hughes,K-5,Seattle,98126,(206)252-9570,http://roxhilles.seattleschools.org/,1259615.91998872,198177.52995156,Interim,
1277786.25996031,267449.850068048,8,Elementary,OLYMPIC HILLS ELEM,13018 20th Ave NE,,Olympic Hills,K-5,Seattle,98125,(206)413-2200,http://olympichillses.seattleschools.org/,1277786.25996031,267449.85006805,Active,
1277664.50003323,212858.329986215,9,Elementary,KIMBALL ELEM,3200 23rd Ave S,,Kimball,K-5,Seattle,98144,(206)252-7280,http://kimballes.seattleschools.org/,1277664.50003323,212858.32998622,Active,
1282665.24987422,202649.160115883,10,Middle School,AKI KUROSE,3928 S Graham St,,Aki Kurose,6-8,Seattle,98118,(206)252-7700,http://kurosems.seattleschools.org/,1282665.24987422,202649.16011588,Active,
1254417.66004406,238203.119847715,11,Elementary,CATHARINE BLAINE,2550 34th Ave W,,Catharine Blaine K-8,K-8,Seattle,98199,(206)252-1920,http://blainek8.seattleschools.org/,1254417.66004406,238203.11984772,Active,
1266068.74008831,234555.130096465,12,Elementary,HAY ELEM,201 Garfield St,,Hay,K-5,Seattle,98109,(206)252-2100,http://hayes.seattleschools.org/,1266068.74008831,234555.13009647,Active,
1279173.76998056,204882.489966795,13,Elementary,DEARBORN PARK ELEM,2820 S Orcas St,,Dearborn Park Int'l,K-5,Seattle,98108,(206)252-6930,http://dearbornes.seattleschools.org/,1279173.76998056,204882.4899668,Active,
1283449.80014239,253237.61700964,14,Elementary,DECATUR BLDG/DS-2,7711 43rd Ave NE,,Decatur,1-5,Seattle,98115,(206)252-3230,https://decatures.seattleschools.org/,1283449.80014239,253237.61700964,Active,
1263683.15004322,200566.689871386,15,Elementary,SANISLO ELEM,1812 SW Myrtle St,,Sanislo,K-5,Seattle,98106,(206)252-8380,http://sanisloes.seattleschools.org/,1263683.15004322,200566.68987139,Active,
1270397.75997356,268327.269901127,16,High School,INGRAHAM HIGH SCHOOL,1819 N 135th St,,Ingraham Int'l,9-12,Seattle,98133,(206)252-3880,http://ingrahamhs.seattleschools.org/,1270397.75997356,268327.26990113,Active,
1261173.49003631,253146.520078972,17,Elementary,WHITTIER ELEM,1320 NW 75th St,,Whittier,K-5,Seattle,98117,(206)252-1650,http://whittieres.seattleschools.org/,1261173.49003631,253146.52007897,Active,
1270092.06504689,257198.038222641,19,Option Elementary,WILSON-PACIFIC,1700 N 90th St,,Cascadia,K-5,Seattle,98103,(206)252-5914,http://cascadiaes.seattleschools.org/,1270067.62513514,257142.21878047,Active,
1283118.24010998,261416.439890802,20,Elementary,JOHN ROGERS ELEM,4030 NE 109th St,,John Rogers,K-5,Seattle,98125,(206)252-4320,http://rogerses.seattleschools.org/,1283118.24010998,261416.4398908,Active,
1256690.24998707,243430.789838552,21,Elementary,LAWTON ELEM,4000 27th Ave W,,Lawton,K-5,Seattle,98199,(206)252-2130,http://lawtones.seattleschools.org/,1256690.24998707,243430.78983855,Active,
1283050.62508772,253474.984317049,22,Option Elementary,New Bldg,7712 40th Ave NE,,Thornton Creek,K-5,Seattle,98115,(206)252-5300,http://thorntoncreekes.seattleschools.org/,1283050.62508772,253474.98431705,Active,
1285981.6198819,202381.050087795,23,Elementary,GRAHAM HILL ELEM,5149 S Graham St,,Graham Hill,K-5,Seattle,98118,(206)252-7140,http://grahamhilles.seattleschools.org/,1285981.6198819,202381.0500878,Active,
1269615.71002847,243307.750058383,24,Middle School,HAMILTON MIDDLE SCHOOL,1610 N 41st St,,Hamilton Int'l,6-8,Seattle,98103,(206)252-5810,http://hamiltonms.seattleschools.org/,1269615.71002847,243307.75005838,Active,
1257819.37010415,257367.530009627,25,Elementary,NORTH BEACH ELEM,9018 24th Ave NW,,North Beach,K-5,Seattle,98117,(206)252-1510,http://northbeaches.seattleschools.org/,1257819.37010415,257367.53000963,Active,
1266143.11001831,195253.180157214,26,Elementary,HIGHLAND PARK ELEM,1012 SW Trenton St,,Highland Park,K-5,Seattle,98106,(206)252-8240,http://highlandparkes.seattleschools.org/,1266143.11001831,195253.18015721,Active,
1259288.58009222,250523.770075127,27,Option Elementary,MONROE BLDG,1810 NW 65th St,,Salmon Bay K-8,K-8,Seattle,98117,(206)252-1720,http://salmonbayk8.seattleschools.org/,1259288.58009222,250523.77007513,Active,
1280727.73996973,212506.779836297,28,Elementary,JOHN MUIR ELEM,3301 S Horton St,,John Muir,K-5,Seattle,98144,(206)252-7400,http://muires.seattleschools.org/,1280727.73996973,212506.7798363,Active,
1260587.37014556,192764.060135469,30,Service School,ROXHILL ELEM,9430 30th Ave SW,,BRIDGES,,Seattle,98126,(206)252-9330,https://www.seattleschools.org/cms/One.aspx?portalId=627&pageId=2581181,1260587.37014556,192764.06013547,Active,
1284328.1901179,194835.150153384,31,Elementary,DUNLAP ELEM,4525 S Cloverdale St,,Dunlap,K-5,Seattle,98118,(206)252-7000,http://dunlapes.seattleschools.org/,1284328.1901179,194835.15015338,Active,
1275970.69994314,250536.4301548,32,High School,ROOSEVELT HIGH SCHOOL,1410 NE 66th St,,Roosevelt,9-12,Seattle,98115,(206)252-4810,http://roosevelths.seattleschools.org/,1275970.69994314,250536.4301548,Active,
1262701.86001106,237401.020073965,33,Elementary,COE ELEM,2424 7th Ave W,,Coe,K-5,Seattle,98119,(206)252-2000,http://coees.seattleschools.org/,1262701.86001106,237401.02007397,Active,
1254433.86998539,210195.879930556,34,Elementary,GENESEE HILL BLDG,5013 SW Dakota St,,Genesee Hill,K-5,Seattle,98116,(206)252-9700,http://geneseehilles.seattleschools.org/,1254433.86998539,210195.87993056,Active,
1282549.27110356,268224.489922971,35,Option Elementary,CEDAR PARK BLDG,3737 NE 135th St,,Cedar Park,K-5,Seattle,98125,(206)252-4300,http://cedarparkes.seattleschools.org/,1282531.86792314,268135.87592697,Active,
1257552.24990347,214250.750101641,36,High School,WEST SEATTLE HIGH SCHOOL,3000 California Ave SW,,West Seattle High,9-12,Seattle,98116,(206)252-8800,http://westseattlehs.seattleschools.org/,1257552.24990347,214250.75010164,Active,
1256557.70005532,249606.479914963,37,Elementary,ADAMS ELEM,6110 28th Ave NW,,Adams,K-5,Seattle,98107,(206)252-1300,http://adamses.seattleschools.org/,1256557.70005532,249606.47991496,Active,
1258460.52991106,205401.000084639,38,Elementary,FAIRMOUNT PARK ELEM,3800 SW Findlay St,,Fairmount Park,K-5,Seattle,98126,(206)252-9300,http://fairmountparkes.seattleschools.org/,1258460.52991106,205401.00008464,Active,
1279167.85988739,199712.390070796,40,Elementary,VAN ASSELT ELEM,7201 Beacon Ave S,,Wing Luke,K-5,Seattle,98108,(206)252-7630,http://lukees.seattleschools.org/,1279167.85988739,199712.3900708,Interim,
1282452.70010248,209797.739978805,41,Elementary,HAWTHORNE ELEM,4100 39th Ave S,,Hawthorne,K-5,Seattle,98118,(206)252-7210,http://hawthornees.seattleschools.org/,1282452.70010248,209797.73997881,Active,
1281478.95008148,206997.380093962,42,Service School,COLUMBIA BLDG/ORCA,3528 S Ferdinand St,,Interagency at Columbia School,9-12,Seattle,98118,(206)743-3930,http://interagency.seattleschools.org/,1281478.95008148,206997.38009396,Active,
1272923.56988256,237846.300023302,43,Option Elementary,SEWARD BLDG,2500  Franklin Ave E,,TOPS K-8,K-8,Seattle,98102,(206)252-3510,http://topsk8.seattleschools.org/,1272923.56988256,237846.3000233,Active,
1286987.90986405,185254.06990613,45,Elementary,RAINIER VIEW ELEM,11650 Beacon Ave S,,Rainier View,K-5,Seattle,98178,(206)252-6700,http://rainierviewes.seattleschools.org/,1286987.90986405,185254.06990613,Active,
1275356.92984523,209286.139952138,46,Middle School,MERCER MIDDLE SCHOOL,1600 S Columbian Way,,Mercer Int'l,6-8,Seattle,98108,(206)252-8000,http://mercerms.seattleschools.org/,1275356.92984523,209286.13995214,Active,
1266376.49012898,268016.519866467,47,Elementary,BROADVIEW-THOMSON,13052 Greenwood Ave N,,Broadview-Thomson K-8,K-8,Seattle,98133,(206)252-4080,http://broadviewk8.seattleschools.org/,1266376.49012898,268016.51986647,Active,
1257277.99979581,254105.140537053,48,Elementary,LOYAL HEIGHTS,7735 25th Ave NW,,Loyal Heights,K-5,Seattle,98117,(206)252-6000,http://loyalheightses.seattleschools.org/,1257277.99979581,254105.14053705,Active,
1277433.42011482,258249.080083802,49,Elementary,SACAJAWEA ELEM,9501 20th Ave NE,,Sacajawea,K-5,Seattle,98115,(206)252-5550,http://sacajaweaes.seattleschools.org/,1277433.42011482,258249.0800838,Active,
1278419.13008565,225386.440100551,50,Service School,MANN BLDG,2410 E Cherry St,,Nova,9-12,Seattle,98122,(206)252-3500,http://novahs.seattleschools.org/,1278419.13008565,225386.44010055,Active,
1258789.50005364,189752.729872048,51,Elementary,ARBOR HEIGHTS,3701 SW 104th St,,Arbor Heights,K-5,Seattle,98146,(206)252-9250,http://arborheightses.seattleschools.org/,1258789.50005364,189752.72987205,Active,
1260035.42013398,201425.019847631,52,Elementary,HIGH POINT ELEM,6760 34th Ave SW,,West Seattle Elementary,K-5,Seattle,98126,(206)252-9450,http://westseattlees.seattleschools.org/,1260035.42013398,201425.01984763,Active,
1269160.81526898,257237.621476799,53,Middle School,WILSON-PACIFIC,1330 N 90th St,,Robert Eagle Staff,6-8,Seattle,98103,(206)413-2300,http://eaglestaffms.seattleschools.org/,1269518.91593073,257308.57310656,Active,
1269243.30001214,244366.399843961,54,High School,LINCOLN,4400 Interlake Ave N,,Lincoln,9-12,Seattle,98103,(206)413-2500,https://lincolnhs.seattleschools.org/,1269243.30001214,244366.39984396,Active,
1276868.68010256,233818.910112217,55,Elementary,STEVENS ELEM,1242 18th Ave E,,Stevens,K-5,Seattle,98112,(206)252-3400,http://stevenses.seattleschools.org/,1276868.68010256,233818.91011222,Active,
1275769.47987315,263746.86009872,56,Option Elementary,PINEHURST,11530 12th Ave NE,,Hazel Wolf K-8,K-8,Seattle,98125,(206)252-4610,http://hazelwolfk8.seattleschools.org/,1275769.47987315,263746.86009872,Active,
1266782.38990773,236389.049985051,57,Option Elementary,OLD HAY BLDG,2100 4th Ave N,,Queen Anne,K-5,Seattle,98109,(206)252-2480,https://queenannees.seattleschools.org/,1266782.38990773,236389.04998505,Active,
1260155.07015714,257968.809975058,58,Middle School,WHITMAN MIDDLE SCHOOL,9201 15th Ave NW,,Whitman,6-8,Seattle,98117,(206)252-1200,http://whitmanms.seattleschools.org/,1260155.07015714,257968.80997506,Active,
1264463.86993848,239467.139957473,59,Service School,NORTHWEST CENTER,2919 1st Ave W,,Cascade PPP,K-12,Seattle,98119,(206)743-3900,http://cppp.seattleschools.org/,1264463.86993848,239467.13995747,Active,
1266197.67618214,230361.846816391,61,Option High School,SEATTLE CENTER – CENTER HOUSE,305 Harrison St,,Center School,9-12,Seattle,98109,(206)252-9850,http://centerhs.seattleschools.org/,1266197.67618214,230361.84681639,Active,
1277550.99993214,221583.780054972,62,Middle School,WASHINGTON MIDDLE SCHOOL,2101 S Jackson St,,Washington,6-8,Seattle,98144,(206)252-2600,http://washingtonms.seattleschools.org/,1277550.99993214,221583.78005497,Active,
1264429.86016397,254418.429936722,63,Elementary,GREENWOOD ELEM,144 NW 80th St,,Greenwood,K-5,Seattle,98117,(206)252-1400,http://greenwoodes.seattleschools.org/,1264429.86016397,254418.42993672,Active,
1256120.38006382,212893.61994189,64,Middle School,MADISON MIDDLE SCHOOL,3429 45th Ave SW,,Madison,6-8,Seattle,98116,(206)252-9200,http://madisonms.seattleschools.org/,1256120.38006382,212893.61994189,Active,
1284450.63016173,244890.659950301,65,Elementary,LAURELHURST ELEM,4530 46th Ave NE,,Laurelhurst,K-5,Seattle,98105,(206)252-5400,http://laurelhurstes.seattleschools.org/,1284450.63016173,244890.6599503,Active,
1286494.98007564,194459.620064557,67,High School,RAINIER BEACH HIGH SCHOOL,8815 Seward Park Ave S,,Rainier Beach,9-12,Seattle,98118,(206)252-6350,http://rainierbeachhs.seattleschools.org,1286494.98007564,194459.62006456,Active,
1279943.71988423,255315.149928048,68,Elementary,WEDGWOOD ELEM,2720 NE 85th St,,Wedgwood,K-5,Seattle,98115,(206)252-5670,http://wedgwoodes.seattleschools.org/,1279943.71988423,255315.14992805,Active,
1251820.84010647,214499.249932721,69,Elementary,ALKI ELEM,3010 59th Ave SW,,Alki,K-5,Seattle,98116,(206)252-9050,http://alkies.seattleschools.org/,1251820.84010647,214499.24993272,Active,
1256919.88010523,215254.310102388,70,Elementary,LAFAYETTE ELEM,2645 California Ave SW,,Lafayette,K-5,Seattle,98116,(206)252-9500,http://lafayettees.seattleschools.org/,1256919.88010523,215254.31010239,Active,
1261801.99993414,197702.000062719,71,Middle School,DENNY MIDDLE SCHOOL,2601 SW Kenyon St,,Denny Int'l,6-8,Seattle,98126,(206)252-9000,http://dennyms.seattleschools.org/,1261801.99993414,197702.00006272,Active,
1280622.75986473,223038.450045884,72,Elementary,LESCHI ELEM,135 32nd Ave,,Leschi,K-5,Seattle,98122,(206)252-2950,http://leschies.seattleschools.org/,1280622.75986473,223038.45004588,Active,
1256318.79010005,200948.509973884,73,Elementary,GATEWOOD ELEM,4320 SW Myrtle St,,Gatewood,K-5,Seattle,98136,(206)252-9400,http://gatewoodes.seattleschools.org/,1256318.79010005,200948.50997388,Active,
1264277.49990439,261250.829985797,75,Elementary,VIEWLANDS ELEM,10525 3rd Ave NW,,Viewlands,K-5,Seattle,98177,(206)252-4400,http://viewlandses.seattleschools.org/,1264277.49990439,261250.8299858,Active,
1281073.98009089,262373.910088718,76,Middle School,JANE ADDAMS BUILDING,11051 34th Ave NE,,Jane Addams,6-8,Seattle,98125,(206)252-4500,http://addamsms.seattleschools.org/,1281073.98009089,262373.91008872,Active,
1260675.93985032,250610.249889046,77,High School,BALLARD HIGH SCHOOL,1418 NW 65th St,,Ballard,9-12,Seattle,98117,(206)252-1000,http://ballardhs.seattleschools.org/,1260675.93985032,250610.24988905,Active,
1272100.02002047,250272.030093044,78,Elementary,GREENLAKE ELEM,2400 N 65th St,,Green Lake,K-5,Seattle,98103,(206)252-5320,http://greenlakees.seattleschools.org/,1272100.02002047,250272.03009304,Active,
1273632.24989565,207127.800108716,79,Elementary,MAPLE ELEM,4925 Corson Ave S,,Maple,K-5,Seattle,98108,(206)252-8310,http://maplees.seattleschools.org/,1273632.24989565,207127.80010872,Active,
1281008.30010414,248473.999896467,80,Elementary,BRYANT ELEM,3311 NE 60th St,,Bryant,K-5,Seattle,98115,(206)252-5200,http://bryantes.seattleschools.org/,1281008.30010414,248473.99989647,Active,
1276391.74995406,227230.859968141,81,Service School,MINOR ELEM,1700 E Union St,,Seattle World School,6-12,Seattle,98122,(206)252-2200,http://sws.seattleschools.org/,1276391.74995406,227230.85996814,Active,
1274037.94002914,258235.330111295,82,Elementary,OLYMPIC VIEW ELEM,504 NE 95th St,,Olympic View,K-5,Seattle,98115,(206)252-5500,http://olympicviewes.seattleschools.org/,1274037.94002914,258235.3301113,Active,
1288231.26006764,248998.630080804,83,Elementary,SAND POINT BLDG,6208 60th Ave NE,,Sand Point,K-5,Seattle,98115,(206)252-4640,http://sandpointes.seattleschools.org/,1288231.26006764,248998.6300808,Active,
1277815.3701383,237148.640001297,84,Elementary,MONTLAKE ELEM,2409 22nd Ave E,,Montlake,K-5,Seattle,98112,(206)252-3300,http://montlakees.seattleschools.org/,1277815.3701383,237148.6400013,Active,
1282564.87999623,234667.019964546,85,Elementary,MC GILVRA ELEM,1617 38th Ave E,,McGilvra,K-5,Seattle,98112,(206)252-3160,http://mcgilvraes.seattleschools.org/,1282564.87999623,234667.01996455,Active,
1279989.24013439,213486.24014771,86,High School,FRANKLIN HIGH SCHOOL,3013 S Mount Baker Blvd,,Franklin,9-12,Seattle,98144,(206)252-6150,http://franklinhs.seattleschools.org/,1279989.24013439,213486.24014771,Active,
1288216.76993914,191052.880158886,87,Elementary,EMERSON ELEM,9709 60th Ave S,,Emerson,K-5,Seattle,98118,(206)252-7100,http://emersones.seattleschools.org/,1288216.76993914,191052.88015889,Active,
1279167.85988739,199712.390070796,88,Service School,VAN ASSELT ELEM,7201 Beacon Ave S,,Early Learning Center,PK,Seattle,98108,(206)252-9930,https://www.seattleschools.org/cms/one.aspx?pageId=27768105,1279167.85988739,199712.3900708,Active,
1273062.46002473,243404.19015421,89,Option Elementary,LATONA ELEM,4057 5th Ave NE,,John Stanford Int'l,K-5,Seattle,98105,(206)252-6080,http://stanfordes.seattleschools.org/,1273062.46002473,243404.19015421,Active,
1261752.06991589,196600.49012664,90,High School,SEALTH HIGH SCHOOL,2600 SW Thistle St,,Chief Sealth Int'l,9-12,Seattle,98126,(206)252-8550,http://chiefsealthhs.seattleschools.org/,1261752.06991589,196600.49012664,Active,
1264019.7799474,209314.779986724,91,Option Elementary,COOPER BLDG,1901 SW Genesee St,,Pathfinder K-8,K-8,Seattle,98106,(206)252-9710,http://pathfinderk8.seattleschools.org/,1264019.7799474,209314.77998672,Active,
1278563.94016348,219011.67004171,92,Elementary,COLMAN SITE,2401 S Irving St,,Thurgood Marshall,K-5,Seattle,98144,(206)252-2800,http://marshalles.seattleschools.org/,1278563.94016348,219011.67004171,Active,
1264312.7301489,236022.869943127,93,Middle School,MCCLURE MIDDLE SCHOOL,1915 1st Ave W,,McClure,6-8,Seattle,98119,(206)252-1900,http://mcclurems.seattleschools.org/,1264312.7301489,236022.86994313,Active,
1284210.54993322,205705.440092549,94,Option Elementary,WHITWORTH ELEM,5215 46th Ave S,,Orca K-8,K-8,Seattle,98118,(206)252-6900,http://orcak8.seattleschools.org/,1284210.54993322,205705.44009255,Active,
1280398.17993331,252381.309995219,95,Middle School,ECKSTEIN MIDDLE SCHOOL,3003 NE 75th St,,Eckstein,6-8,Seattle,98115,(206)252-5010,http://ecksteinms.seattleschools.org/,1280398.17993331,252381.30999522,Active,
1280925.79009856,226729.750077963,96,Elementary,MADRONA,1121 33rd Ave,,Madrona,K-5,Seattle,98122,(206)252-3100,http://madronak8.seattleschools.org/,1280925.79009856,226729.75007796,Active,
1266864.06986247,242469.889857471,97,Elementary,B F DAY ELEM,3921 Linden Ave N,,B.F. Day,K-5,Seattle,98103,(206)252-6010,http://dayes.seattleschools.org/,1266864.06986247,242469.88985747,Active,
1274777.68986198,222820.819903716,98,Elementary,GATZERT ELEM,1301 E Yesler Way,,Bailey Gatzert,K-5,Seattle,98122,(206)252-2810,http://gatzertes.seattleschools.org/,1274777.68986198,222820.81990372,Active,
1285225.18996431,251621.500163138,99,Elementary,VIEW RIDGE ELEM,7047 50th Ave NE,,View Ridge,K-5,Seattle,98115,(206)252-5600,http://viewridgees.seattleschools.org/,1285225.18996431,251621.50016314,Active,
1283885.5000584,200955.799985558,101,Elementary,BRIGHTON ELEM,6725 45th Ave S,,Martin Luther King Jr,K-5,Seattle,98118,(206)252-6770,http://kinges.seattleschools.org/,1283885.5000584,200955.79998556,Active,
1274227.25001797,231303.909892887,102,Elementary,LOWELL ELEM,1058 E Mercer St,,Lowell,K-5,Seattle,98102,(206)252-3020,http://lowelles.seattleschools.org/,1274227.25001797,231303.90989289,Active,
1277445.88006364,230213.140092805,104,Middle School,MEANY MIDDLE SCHOOL (EAST),301 21st Ave E,,Meany,6-8,Seattle,98112,(206)413-2100,http://meanyms.seattleschools.org/,1277445.88006364,230213.14009281,Active,
1278156.77004606,224295.250025719,106,High School,GARFIELD HIGH SCHOOL,400 23rd Ave,,Garfield,9-12,Seattle,98122,(206)252-2270,http://garfieldhs.seattleschools.org/,1278156.77004606,224295.25002572,Active,
1269160.81526898,257237.621476799,107,Option Elementary,WILSON-PACIFIC,1330 N 90th St,,Licton Springs K-8,K-8,Seattle,98103,(206)413-2400,http://lictonspringsk8.seattleschools.org/,1269518.91593073,257308.57310656,Active,
1272105.72998281,264341.990142047,108,Elementary,NORTHGATE ELEM,11725 1st Ave NE,,Northgate,K-5,Seattle,98125,(206)252-4180,http://northgatees.seattleschools.org/,1272105.72998281,264341.99014205,Active,
1272511.8098793,247335.869954884,110,Option Elementary,MCDONALD BLDG,144 NE 54th St,,McDonald Int'l,K-5,Seattle,98105,206-743-3800,http://mcdonaldes.seattleschools.org/,1272511.8098793,247335.86995488,Active,
1273629.49990115,250587.700065389,111,Elementary,JOHN MARSHALL,520 NE Ravenna Blvd,,West Woodland (interim at John Marshall),K-5,Seattle,98115,(206)252-1600,https://westwoodlandes.seattleschools.org/,1273629.49990115,250587.70006539,Interim,
1284973.4601528,194368.40994513,112,Option Elementary,SOUTH SHORE SCHOOL,4800 S Henderson St,,South Shore K-8,K-8,Seattle,98118,(206)252-7600,http://southshorek8.seattleschools.org/,1284973.46015281,194368.40994513,Active,
1255395.88479364,251113.83221522,113,Option Elementary,WEBSTER,3014 NW 67th St,,Licton Springs K-8,K-8,Seattle,98117,(206)743-3700,https://lictonspringsk8.seattleschools.org/,1255395.88479364,251113.83221522,Active,
1256041.70010306,237567.69985871,114,Elementary,MAGNOLIA,2418 28th Ave W,,Magnolia,K-5,Seattle,98199,(206)743-3800,https://magnoliaes.seattleschools.org/,1256041.70010306,237567.69985871,Active,
1263746.12006164,248355.779988557,115,Elementary,WEST WOODLAND ELEM,5601 4th Ave NW,,,K-5,Seattle,98107,(206)252-1600,http://westwoodlandes.seattleschools.org/,1263746.12006164,248355.77998856,Active,
1285252.97009248,194918.319934547,116,Option High School,SOUTH LAKE HIGH SCHOOL,8601 Rainier Ave S,,Alan T. Sugiyama,9-12,Seattle,98118,(206)252-6600,https://sugiyamahs.seattleschools.org/,1285252.97009248,194918.31993455,Active,
1268771.17005089,254005.600053713,117,Elementary,DANIEL BAGLEY ELEM,7821 Stone Ave N,,Daniel Bagley,K-5,Seattle,98103,(206)252-5110,https://bagleyes.seattleschools.org/,1268771.17005089,254005.60005371,Active,
1280804.68994705,196420.060041294,118,Elementary,AFRICAN AMERICAN ACADEMY,8311 Beacon Ave S,,Rising Star,K-5,Seattle,98118,(206)252-7500,https://risingstares.seattleschools.org/,1280804.68994705,196420.06004129,Active,
